Zip Code,Median Listing Price

30002,471051.13 NI
30021,173850.02 NI
30030,543086.43 done
30032,199598.10 NI
30033,399555.10 done
30067,503561.93 done
30079,290436.33 NI
30080,406567.12 done
30084,264960.69 NI
30303,189277.35 done
30304, null - > done
30305,694852.03 done
30306,831802.77 done
30307,575179.89 done
30308,369375.00 done
30309,524755.42 done
30310,186579.06 done
30311,185791.89 done
30312,385575.16 done
30313, null - > done
30314,122646.58 done
30315,141030.74 done
30316,316203.24 done
30317,456695.91 done
30318,332885.24 done
30319,643105.39 done
30320, null - > done
30322, null - > done
30324,531648.79 done
30326,488540.42 done
30327,1470648.89 done
30328,529897.09 done
30329,498811.29 done
30331, null - > done
30334, null - > done
30336, null - > done
30337,291633.62 done
30338,502983.24 done
30339,436292.43 done
30340,292855.58 done
30341,427213.13 done
30342,829783.43 done
30344,153352.58 done
30345,482385.54 done
30346,411749.20 done
30349, null - > done
30350, null - > done
30354,155386.06 done
30360,388613.80 done
30363,328156.11 done
