Report Number,Occur Date,UCR Literal,Latitude,Longitude,Month,Year,Zipcode
193350568,12/1/2019,ROBBERY-PEDESTRIAN,33.76097,-84.42951,12,2019,30314
193350868,12/1/2019,LARCENY-NON VEHICLE,33.65573,-84.5109,12,2019,30349
193350913,12/1/2019,LARCENY-NON VEHICLE,33.75445,-84.38954,12,2019,30303
193351347,12/1/2019,LARCENY-NON VEHICLE,33.756840000000004,-84.3461,12,2019,30307
193351509,12/1/2019,LARCENY-NON VEHICLE,33.75237,-84.48653,12,2019,30311
193351616,12/1/2019,LARCENY-NON VEHICLE,33.851820000000004,-84.3595,12,2019,30326
193351740,12/1/2019,LARCENY-NON VEHICLE,33.846759999999996,-84.36211999999999,12,2019,30326
193350094,12/1/2019,LARCENY-NON VEHICLE,33.75166,-84.46789,12,2019,30311
193351469,12/1/2019,LARCENY-NON VEHICLE,33.75387,-84.39260999999999,12,2019,30303
193351827,12/1/2019,LARCENY-NON VEHICLE,33.7636,-84.42627,12,2019,30314
193351972,12/1/2019,ROBBERY-PEDESTRIAN,33.65717,-84.39095,12,2019,30354
193350600,12/1/2019,ROBBERY-PEDESTRIAN,33.75932,-84.37442,12,2019,30308
193350875,12/1/2019,LARCENY-NON VEHICLE,33.84642,-84.36815,12,2019,30326
193351070,12/1/2019,LARCENY-NON VEHICLE,33.82,-84.3651,12,2019,30324
193351277,12/1/2019,LARCENY-NON VEHICLE,33.72157,-84.38505,12,2019,30312
193351301,12/1/2019,LARCENY-NON VEHICLE,33.76398,-84.42895,12,2019,30314
193351448,12/1/2019,LARCENY-NON VEHICLE,33.83873,-84.37044,12,2019,30305
193351508,12/1/2019,LARCENY-NON VEHICLE,33.719559999999994,-84.42371,12,2019,30310
193351816,12/1/2019,LARCENY-NON VEHICLE,33.855470000000004,-84.38135,12,2019,30305
193351886,12/1/2019,ROBBERY-COMMERCIAL,33.776959999999995,-84.38696999999999,12,2019,30308
193351901,12/1/2019,AUTO THEFT,33.807990000000004,-84.39355,12,2019,30309
193351161,12/1/2019,ROBBERY-PEDESTRIAN,33.76206,-84.39568,12,2019,30313
193350127,12/1/2019,LARCENY-FROM VEHICLE,33.68783,-84.40888000000001,12,2019,30315
193350474,12/1/2019,LARCENY-FROM VEHICLE,33.74058,-84.35903,12,2019,30316
193350504,12/1/2019,LARCENY-FROM VEHICLE,33.74505,-84.40523,12,2019,30303
193350562,12/1/2019,LARCENY-FROM VEHICLE,33.76509,-84.3833,12,2019,30308
193351139,12/1/2019,LARCENY-FROM VEHICLE,33.74579,-84.40387,12,2019,30303
193351168,12/1/2019,LARCENY-FROM VEHICLE,33.75717,-84.51725,12,2019,30336
193351423,12/1/2019,LARCENY-FROM VEHICLE,33.68387,-84.50204000000001,12,2019,30344
193351596,12/1/2019,LARCENY-FROM VEHICLE,33.77987,-84.41063,12,2019,30363
193351811,12/1/2019,LARCENY-FROM VEHICLE,33.746390000000005,-84.37285,12,2019,30312
193351897,12/1/2019,LARCENY-FROM VEHICLE,33.76045,-84.38556,12,2019,30308
193351910,12/1/2019,LARCENY-FROM VEHICLE,33.75506,-84.35781,12,2019,30307
193351917,12/1/2019,LARCENY-FROM VEHICLE,33.78239,-84.38253,12,2019,30308
193351966,12/1/2019,LARCENY-FROM VEHICLE,33.85865,-84.38101999999999,12,2019,30305
193352000,12/1/2019,LARCENY-FROM VEHICLE,33.79322,-84.34945,12,2019,30306
193352039,12/1/2019,LARCENY-FROM VEHICLE,33.7762,-84.38319,12,2019,30308
193351300,12/1/2019,LARCENY-FROM VEHICLE,33.72797,-84.50032,12,2019,30311
193351449,12/1/2019,AGG ASSAULT,33.76361,-84.42841999999999,12,2019,30314
193350781,12/1/2019,AGG ASSAULT,33.68077,-84.4937,12,2019,30344
193351490,12/1/2019,AGG ASSAULT,33.75823,-84.41403000000001,12,2019,30313
193350819,12/1/2019,AGG ASSAULT,33.7011,-84.46631,12,2019,30311
193350895,12/1/2019,AGG ASSAULT,33.716409999999996,-84.36966,12,2019,30315
193351585,12/1/2019,AGG ASSAULT,33.68244,-84.4927,12,2019,30344
193351697,12/1/2019,AGG ASSAULT,33.80017,-84.47925,12,2019,30318
193361804,12/2/2019,BURGLARY-RESIDENCE,33.71304,-84.38919,12,2019,30315
193360746,12/1/2019,BURGLARY-NONRES,33.846759999999996,-84.36211999999999,12,2019,30326
193360031,12/1/2019,AGG ASSAULT,33.76243,-84.40261,12,2019,30313
193360369,12/2/2019,AGG ASSAULT,33.70158,-84.38006,12,2019,30315
193361068,12/2/2019,AGG ASSAULT,33.69704,-84.40469,12,2019,30315
193362095,12/2/2019,AGG ASSAULT,33.70045,-84.45071,12,2019,30344
193360197,12/2/2019,AGG ASSAULT,33.79333,-84.47416,12,2019,30318
